Month,Price,Change
Apr-95,"58,084.48",-
May-95,"55,376.82",-4.66%
Jun-95,"55,896.80",0.94%
Jul-95,"58,367.28",4.42%
Aug-95,"59,652.03",2.20%
Sep-95,"58,569.61",-1.81%
Oct-95,"57,866.17",-1.20%
Nov-95,"57,474.21",-0.68%
Dec-95,"57,918.80",0.77%
Jan-96,"56,844.64",-1.85%
Feb-96,"58,268.32",2.50%
Mar-96,"55,542.26",-4.68%
Apr-96,"54,345.96",-2.15%
May-96,"55,609.00",2.32%
Jun-96,"51,871.20",-6.72%
Jul-96,"51,820.98",-0.10%
Aug-96,"52,230.11",0.79%
Sep-96,"50,287.09",-3.72%
Oct-96,"47,630.50",-5.28%
Nov-96,"51,800.50",8.75%
Dec-96,"53,767.89",3.80%
Jan-97,"56,520.88",5.12%
Feb-97,"56,704.19",0.32%
Mar-97,"58,523.56",3.21%
Apr-97,"55,929.29",-4.43%
May-97,"58,209.80",4.08%
Jun-97,"56,134.71",-3.56%
Jul-97,"56,891.49",1.35%
Aug-97,"61,454.30",8.02%
Sep-97,"58,650.38",-4.56%
Oct-97,"58,252.04",-0.68%
Nov-97,"59,406.69",1.98%
Dec-97,"60,028.79",1.05%
Jan-98,"58,476.98",-2.59%
Feb-98,"57,029.34",-2.48%
Mar-98,"56,795.03",-0.41%
Apr-98,"56,236.12",-0.98%
May-98,"55,096.35",-2.03%
Jun-98,"55,227.92",0.24%
Jul-98,"55,655.09",0.77%
Aug-98,"56,027.24",0.67%
Sep-98,"57,074.54",1.87%
Oct-98,"55,220.42",-3.25%
Nov-98,"54,876.71",-0.62%
Dec-98,"53,152.61",-3.14%
Jan-99,"51,794.30",-2.56%
Feb-99,"50,406.14",-2.68%
Mar-99,"50,142.74",-0.52%
Apr-99,"54,612.52",8.91%
May-99,"56,605.64",3.65%
Jun-99,"56,738.89",0.24%
Jul-99,"60,763.66",7.09%
Aug-99,"62,206.47",2.37%
Sep-99,"64,979.87",4.46%
Oct-99,"64,069.32",-1.40%
Nov-99,"63,914.68",-0.24%
Dec-99,"67,596.23",5.76%
Jan-00,"73,179.40",8.26%
Feb-00,"72,845.25",-0.46%
Mar-00,"68,741.36",-5.63%
Apr-00,"63,588.13",-7.50%
May-00,"64,495.42",1.43%
Jun-00,"67,318.43",4.38%
Jul-00,"70,010.55",4.00%
Aug-00,"69,800.20",-0.30%
Sep-00,"73,477.93",5.27%
Oct-00,"69,541.84",-5.36%
Nov-00,"68,950.52",-0.85%
Dec-00,"73,183.79",6.14%
Jan-01,"75,192.35",2.74%
Feb-01,"74,633.05",-0.74%
Mar-01,"70,358.26",-5.73%
Apr-01,"70,034.26",-0.46%
May-01,"72,194.89",3.09%
Jun-01,"68,915.83",-4.54%
Jul-01,"66,771.20",-3.11%
Aug-01,"64,896.71",-2.81%
Sep-01,"64,062.91",-1.28%
Oct-01,"61,586.26",-3.87%
Nov-01,"63,714.59",3.46%
Dec-01,"64,430.71",1.12%
Jan-02,"66,151.77",2.67%
Feb-02,"66,675.22",0.79%
Mar-02,"68,478.92",2.71%
Apr-02,"67,019.23",-2.13%
May-02,"65,821.70",-1.79%
Jun-02,"66,291.88",0.71%
Jul-02,"65,250.50",-1.57%
Aug-02,"62,759.49",-3.82%
Sep-02,"63,034.00",0.44%
Oct-02,"63,392.03",0.57%
Nov-02,"66,215.88",4.45%
Dec-02,"66,192.43",-0.04%
Jan-03,"66,060.96",-0.20%
Feb-03,"67,887.93",2.77%
Mar-03,"66,186.29",-2.51%
Apr-03,"63,107.30",-4.65%
May-03,"65,845.33",4.34%
Jun-03,"65,869.60",0.04%
Jul-03,"66,396.97",0.80%
Aug-03,"66,896.33",0.75%
Sep-03,"64,904.56",-2.98%
Oct-03,"66,916.88",3.10%
Nov-03,"68,659.64",2.60%
Dec-03,"70,889.83",3.25%
Jan-04,"73,013.37",3.00%
Feb-04,"76,311.28",4.52%
Mar-04,"74,543.99",-2.32%
Apr-04,"75,993.24",1.94%
May-04,"73,437.89",-3.36%
